"Component Count:","15"
" "
"Ref","Qnty","Cmp name","Value","LCSC","DigiKey","Footprint","Description"
"C1, ","1","C_Polarized","100uf","C7442639","","Capacitor_SMD:CP_Elec_6.3x5.4","Polarized capacitor"
"C2, C3, ","2","C","10uf","C15850","","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor"
"D1, D2, ","2","MB4S","MB4S","C20612967","","Package_TO_SOT_SMD:TO-269AA","Miniature Glass Passivated Single-Phase Surface Mount Bridge Rectifiers, 280V Vrms, 0.5A If, TO-269AA"
"D3, ","1","Z1SMAxxx","SMAJ58A","C280379","","Diode_SMD:D_SMA","1000mW Zener Diode, SMA(DO-214AC)"
"D4, ","1","LED","LED","","","LED_SMD:LED_0805_2012Metric","Light emitting diode"
"J2, ","1","Conn_01x02_Male","Conn_01x02_Male","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"L1, ","1","L_Iron","fnr3015s1r","C167746","","tightstuff:fnr3015s","Inductor with iron core"
"MOD-1, ","1","Ag9912LP","Ag9905LP","C5380108","","Tinker:Ag9912LP","Power over Ethernet - PoE IEEE802.3af PD module. 12V 10W low profile"
"R1, R2, R4, ","3","R","?","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor"
"R3, ","1","R","Rmin","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor"
"TR3, ","1","TG111-MSC13LF","SET2401ST","C7603464","","tightstuff:Eth_Magnetics (1.0)","Single Port Gigabit Ethernet Transformers"
